Gender,Education_Level,Years_of_Experience,Country,Race,Job_Title,Salary
1,0,4.0,3,4,76,60000.0
0,0,10.0,4,1,120,80000.0
1,2,19.0,1,1,34,175000.0
0,0,3.0,0,4,77,45000.0
1,2,11.0,1,1,122,120000.0
0,3,18.0,0,0,150,140000.0
1,0,2.0,4,0,59,35000.0
0,2,9.0,1,4,142,95000.0
1,0,14.0,4,1,140,110000.0
0,0,5.0,4,0,65,50000.0
1,2,7.0,2,0,149,115000.0
0,3,23.0,2,0,30,185000.0
1,0,2.0,0,4,84,40000.0
0,0,12.0,4,0,161,90000.0
1,2,21.0,4,0,33,175000.0
0,0,3.0,3,3,58,45000.0
1,0,7.0,2,4,143,80000.0
0,2,13.0,2,0,136,120000.0
1,0,1.5,2,4,56,35000.0
0,0,14.0,0,4,119,110000.0
1,3,18.0,1,1,159,150000.0
0,0,4.0,2,0,66,50000.0
1,2,9.0,2,0,165,105000.0
0,2,20.0,0,4,27,180000.0
1,0,2.0,1,0,69,40000.0
1,0,7.0,3,4,173,115000.0
1,0,16.0,3,4,156,140000.0
0,2,1.5,1,0,61,45000.0
1,0,7.0,2,4,147,85000.0
0,3,18.0,3,0,145,140000.0
1,0,4.0,3,4,53,50000.0
0,0,10.0,3,0,135,80000.0
1,2,20.0,4,0,32,170000.0
0,0,2.0,3,4,80,40000.0
1,2,9.0,2,0,121,105000.0
0,3,15.0,4,2,167,145000.0
1,0,2.0,4,2,75,40000.0
0,0,8.0,4,1,146,85000.0
1,0,14.0,2,0,139,130000.0
0,2,6.0,1,4,129,95000.0
1,0,9.0,3,3,157,100000.0
0,3,22.0,2,0,35,180000.0
1,0,1.5,3,4,72,35000.0
0,0,12.0,4,1,118,95000.0
1,2,19.0,0,0,24,170000.0
0,0,3.0,0,4,81,45000.0
1,0,7.0,2,0,152,95000.0
0,2,13.0,3,4,137,120000.0
1,0,2.0,4,1,55,40000.0
0,0,11.0,1,0,143,90000.0
1,3,17.0,3,0,124,155000.0
0,0,5.0,0,0,52,55000.0
1,2,9.0,1,0,164,110000.0
0,2,21.0,3,3,29,180000.0
1,0,3.0,3,4,54,45000.0
1,0,16.0,4,0,160,130000.0
0,2,1.5,4,2,85,45000.0
1,0,7.0,1,4,120,90000.0
0,3,17.0,3,3,144,160000.0
1,0,4.0,2,0,67,50000.0
0,0,10.0,0,0,149,120000.0
1,2,20.0,0,4,27,170000.0
0,0,2.0,2,0,69,40000.0
1,2,9.0,2,4,138,110000.0
0,3,15.0,2,0,150,150000.0
1,0,2.0,4,0,56,40000.0
0,0,8.0,4,4,142,85000.0
1,0,14.0,2,0,165,130000.0
0,2,6.0,3,4,128,100000.0
1,0,9.0,1,4,154,95000.0
0,3,22.0,0,4,32,180000.0
1,0,1.5,3,0,57,35000.0
0,0,12.0,2,0,161,100000.0
1,2,19.0,4,2,31,170000.0
0,0,3.0,3,4,82,45000.0
1,0,7.0,4,2,151,100000.0
0,2,13.0,2,4,136,140000.0
1,0,2.0,0,4,65,40000.0
0,0,11.0,3,4,145,105000.0
1,3,18.0,1,4,126,160000.0
0,0,5.0,0,0,74,70000.0
1,2,9.0,0,4,163,120000.0
0,2,21.0,4,2,30,190000.0
1,0,3.0,1,1,71,45000.0
1,0,15.0,1,0,156,120000.0
0,2,1.5,2,4,78,50000.0
1,0,8.0,1,4,147,85000.0
0,3,13.0,1,4,145,140000.0
1,0,3.0,0,4,80,45000.0
0,0,9.0,3,4,129,100000.0
1,2,16.0,0,0,164,140000.0
0,0,5.0,1,0,72,70000.0
1,0,10.0,1,1,146,120000.0
0,3,18.0,1,4,133,160000.0
1,0,1.5,0,4,55,40000.0
0,0,10.0,2,0,152,120000.0
1,3,19.0,3,0,124,150000.0
0,0,6.0,4,0,68,70000.0
1,0,8.0,4,4,149,95000.0
0,2,21.0,1,4,31,180000.0
1,0,3.0,1,1,65,50000.0
0,0,11.0,4,1,154,95000.0
1,2,20.0,1,4,32,170000.0
0,0,2.0,4,4,69,40000.0
1,2,9.0,0,4,138,110000.0
0,3,15.0,2,0,150,150000.0
1,0,2.0,4,0,56,40000.0
0,0,8.0,1,4,142,85000.0
1,0,14.0,0,4,165,130000.0
0,2,6.0,0,4,128,100000.0
1,0,9.0,3,0,154,95000.0
0,3,22.0,0,4,32,180000.0
1,0,7.0,1,4,173,115000.0
0,0,10.0,4,1,130,120000.0
1,3,18.0,2,0,126,160000.0
0,0,3.0,0,4,69,50000.0
1,0,12.0,1,1,149,110000.0
0,0,1.5,4,1,80,40000.0
1,0,8.0,3,4,146,95000.0
0,2,15.0,2,0,134,140000.0
1,0,4.0,2,0,74,60000.0
0,0,9.0,2,4,143,110000.0
1,3,16.0,0,0,125,150000.0
0,0,4.0,3,4,70,60000.0
1,0,8.0,0,4,129,90000.0
0,2,20.0,3,3,31,180000.0
1,0,2.0,0,4,55,40000.0
0,0,9.0,3,0,156,120000.0
1,3,17.0,3,0,124,160000.0
0,0,5.0,3,3,65,70000.0
1,0,8.0,0,0,152,95000.0
0,2,21.0,3,3,32,180000.0
1,0,3.0,4,2,72,50000.0
0,0,11.0,1,1,154,95000.0
1,2,19.0,1,4,31,170000.0
0,0,1.5,0,4,56,35000.0
1,0,9.0,1,4,130,100000.0
0,3,15.0,2,4,150,150000.0
1,0,4.0,1,1,55,60000.0
0,0,8.0,2,0,142,85000.0
1,0,13.0,1,4,165,130000.0
1,0,4.0,2,0,75,65000.0
0,0,10.0,0,0,121,110000.0
1,3,21.0,4,0,32,180000.0
0,0,2.0,0,4,71,40000.0
1,0,7.0,4,2,122,90000.0
0,2,14.0,3,4,133,140000.0
1,0,4.0,2,0,65,60000.0
0,0,12.0,0,0,145,130000.0
1,3,16.0,0,0,126,160000.0
0,0,2.0,0,4,73,40000.0
1,0,9.0,3,3,142,100000.0
0,2,20.0,4,2,28,180000.0
1,0,3.0,1,1,76,55000.0
0,0,9.0,1,0,148,120000.0
1,3,16.0,1,1,125,150000.0
0,0,5.0,3,3,70,70000.0
1,0,8.0,2,0,121,95000.0
0,2,21.0,2,4,31,180000.0
1,0,3.0,1,1,72,50000.0
0,0,12.0,0,4,156,120000.0
1,2,19.0,3,4,31,170000.0
0,0,1.5,0,4,56,35000.0
1,0,9.0,0,0,130,100000.0
0,3,15.0,0,0,150,150000.0
1,0,4.0,3,4,55,60000.0
0,0,8.0,1,1,142,85000.0
1,0,13.0,0,4,165,130000.0
0,2,6.0,1,4,128,80000.0
1,0,8.0,1,4,146,95000.0
0,0,2.0,3,4,66,40000.0
1,0,10.0,2,0,122,120000.0
0,2,16.0,1,1,145,160000.0
1,0,4.0,4,2,64,65000.0
0,0,12.0,1,4,156,130000.0
1,3,20.0,2,4,26,180000.0
0,0,2.0,0,4,68,40000.0
1,0,9.0,3,0,149,100000.0
0,3,15.0,4,1,126,150000.0
1,0,3.0,1,4,69,55000.0
0,0,10.0,2,4,121,110000.0
1,2,21.0,2,0,31,180000.0
0,0,3.0,2,0,56,50000.0
1,0,12.0,0,4,129,130000.0
0,3,16.0,0,0,167,160000.0
1,0,4.0,1,0,75,60000.0
0,0,8.0,2,0,145,95000.0
1,2,19.0,2,0,32,170000.0
0,0,2.0,3,3,76,40000.0
1,0,7.0,3,0,148,90000.0
0,3,15.0,3,4,121,150000.0
1,0,5.0,3,4,71,70000.0
0,0,8.0,0,4,130,90000.0
1,2,18.0,2,0,31,170000.0
0,0,3.0,3,0,65,50000.0
1,0,14.0,1,4,152,150000.0
0,3,16.0,1,0,125,160000.0
1,0,4.0,1,1,55,60000.0
0,0,8.0,1,0,142,85000.0
1,2,19.0,2,0,26,180000.0
0,0,1.0,1,0,74,35000.0
1,0,8.0,4,0,122,110000.0
0,3,16.0,2,0,126,160000.0
1,0,3.0,1,1,69,55000.0
0,0,10.0,1,1,121,110000.0
1,2,21.0,1,0,31,180000.0
0,0,3.0,1,1,56,50000.0
1,0,12.0,4,4,129,130000.0
0,3,16.0,3,0,167,160000.0
1,0,4.0,1,4,75,60000.0
0,0,8.0,3,4,145,95000.0
1,2,19.0,3,4,32,170000.0
0,0,2.0,0,4,76,40000.0
1,0,7.0,2,0,148,90000.0
0,3,15.0,3,4,121,150000.0
1,0,5.0,1,4,71,70000.0
0,0,8.0,2,0,130,90000.0
1,2,18.0,1,0,31,170000.0
0,0,3.0,1,1,65,50000.0
1,0,14.0,2,0,152,150000.0
0,3,16.0,0,4,125,160000.0
1,0,4.0,3,4,55,60000.0
0,0,8.0,2,4,142,85000.0
1,2,19.0,2,4,32,170000.0
0,0,2.0,4,0,76,40000.0
1,0,7.0,2,4,148,90000.0
0,3,15.0,3,4,121,150000.0
1,2,6.0,0,4,17,160000.0
0,0,3.0,1,1,173,125000.0
1,2,2.0,2,4,103,120000.0
0,0,2.0,3,3,15,110000.0
1,3,5.0,2,0,17,180000.0
0,0,4.0,0,4,173,140000.0
1,0,7.0,4,0,103,170000.0
0,2,1.0,2,4,15,100000.0
1,3,8.0,3,3,17,190000.0
0,0,6.0,3,4,173,155000.0
1,2,3.0,1,1,103,130000.0
0,0,5.0,4,1,15,145000.0
1,3,2.0,4,1,17,115000.0
0,0,4.0,4,2,173,140000.0
1,0,9.0,2,0,103,185000.0
0,2,1.0,0,4,15,100000.0
1,3,8.0,1,1,17,190000.0
0,0,6.0,3,4,173,155000.0
1,2,3.0,0,4,103,130000.0
0,0,5.0,0,4,15,145000.0
1,0,3.0,2,0,173,125000.0
0,2,2.0,4,4,103,120000.0
1,0,2.0,4,1,15,110000.0
0,3,5.0,2,0,17,180000.0
1,0,4.0,4,2,173,140000.0
1,0,7.0,2,0,103,170000.0
0,2,1.0,0,0,15,100000.0
1,3,8.0,1,0,17,190000.0
0,0,6.0,0,4,173,155000.0
1,2,3.0,1,0,103,130000.0
0,0,5.0,1,0,15,145000.0
1,3,2.0,3,0,17,115000.0
0,0,4.0,0,4,173,140000.0
1,0,9.0,1,4,103,185000.0
0,2,1.0,2,4,15,100000.0
1,3,8.0,3,4,17,190000.0
0,0,6.0,0,4,173,155000.0
1,2,3.0,1,0,103,130000.0
0,0,5.0,1,4,15,145000.0
1,0,3.0,0,0,173,125000.0
0,2,2.0,4,4,103,120000.0
1,0,2.0,0,4,15,110000.0
0,3,5.0,1,1,17,180000.0
1,0,4.0,0,0,173,140000.0
1,0,7.0,4,1,103,170000.0
0,2,1.0,1,1,15,100000.0
1,3,8.0,0,4,17,190000.0
0,0,6.0,2,0,173,155000.0
1,2,3.0,3,3,103,130000.0
0,0,5.0,2,4,15,145000.0
1,3,2.0,0,4,17,115000.0
0,0,4.0,2,0,173,140000.0
1,0,9.0,2,0,103,185000.0
0,2,1.0,2,0,15,100000.0
1,3,8.0,4,0,17,190000.0
0,0,6.0,0,0,173,155000.0
1,2,3.0,0,4,103,130000.0
0,0,5.0,0,4,15,145000.0
1,0,3.0,1,1,173,125000.0
0,2,2.0,3,0,103,120000.0
1,0,2.0,2,4,15,110000.0
0,3,5.0,4,1,17,180000.0
1,0,4.0,1,0,173,140000.0
1,0,7.0,2,0,103,170000.0
0,2,1.0,0,0,15,100000.0
1,3,8.0,4,0,17,190000.0
0,0,6.0,2,0,173,155000.0
1,2,3.0,4,2,103,130000.0
0,0,5.0,4,4,15,145000.0
1,3,2.0,2,0,17,115000.0
0,0,4.0,4,1,173,140000.0
1,0,9.0,2,0,103,185000.0
0,2,1.0,3,3,15,100000.0
1,3,8.0,3,4,17,190000.0
0,0,6.0,0,0,173,155000.0
1,2,3.0,4,0,103,130000.0
0,0,5.0,0,4,15,145000.0
1,3,2.0,2,0,17,115000.0
0,0,4.0,4,2,173,140000.0
1,0,9.0,3,3,103,185000.0
0,2,1.0,0,4,15,100000.0
1,3,8.0,2,0,17,190000.0
0,0,6.0,4,2,173,155000.0
1,2,3.0,1,0,103,130000.0
0,0,5.0,0,0,15,145000.0
1,0,3.0,0,0,173,125000.0
0,2,2.0,0,4,103,120000.0
1,0,2.0,0,0,15,110000.0
0,3,5.0,4,0,17,180000.0
1,0,4.0,4,2,173,140000.0
1,0,7.0,1,4,103,170000.0
0,2,1.0,3,4,15,100000.0
1,3,8.0,2,0,17,190000.0
0,0,6.0,4,0,173,155000.0
1,2,3.0,3,3,103,130000.0
0,0,5.0,0,4,15,145000.0
1,3,2.0,0,0,17,115000.0
0,0,4.0,2,0,173,140000.0
1,0,9.0,2,0,103,185000.0
0,2,1.0,1,0,15,100000.0
1,3,8.0,3,3,17,190000.0
0,0,6.0,3,4,173,155000.0
1,2,3.0,3,0,103,130000.0
0,0,5.0,2,0,15,145000.0
1,3,2.0,3,4,17,115000.0
0,0,4.0,2,0,173,140000.0
1,0,9.0,2,4,103,185000.0
0,2,1.0,3,4,15,100000.0
1,3,8.0,3,3,17,190000.0
0,0,6.0,2,0,173,155000.0
1,2,3.0,1,4,103,130000.0
0,0,5.0,4,4,15,145000.0
1,3,2.0,3,3,17,115000.0
0,0,4.0,4,4,173,140000.0
1,0,9.0,0,0,103,185000.0
0,2,1.0,0,0,15,100000.0
1,3,8.0,1,0,17,190000.0
0,0,6.0,0,4,173,155000.0
1,2,3.0,1,0,103,130000.0
0,0,5.0,2,0,15,145000.0
1,3,2.0,0,4,17,115000.0
0,0,4.0,2,0,173,140000.0
1,0,9.0,1,4,103,185000.0
0,2,1.0,2,0,15,100000.0
1,3,8.0,3,3,17,190000.0
0,0,6.0,4,4,173,155000.0
1,2,3.0,0,4,103,130000.0
0,0,5.0,4,2,15,145000.0
1,3,2.0,3,4,17,115000.0
0,0,4.0,1,0,173,140000.0
1,0,9.0,0,4,103,185000.0
1,0,3.0,0,4,15,130000.0
0,2,6.0,3,0,17,180000.0
1,0,8.0,0,4,173,190000.0
0,0,4.0,3,4,103,150000.0
1,0,1.0,2,0,15,90000.0
0,2,9.0,3,0,17,195000.0
1,0,5.0,2,4,173,160000.0
0,2,11.0,4,1,103,198000.0
1,0,2.0,4,2,15,110000.0
0,3,7.0,2,0,17,185000.0
1,0,4.0,3,3,173,140000.0
0,2,12.0,2,0,103,196000.0
1,0,1.0,2,0,15,95000.0
0,3,10.0,0,4,17,193000.0
1,0,6.0,0,4,173,175000.0
0,0,5.0,0,4,103,160000.0
1,0,3.0,1,1,15,130000.0
0,2,6.0,2,0,17,180000.0
1,0,5.0,4,1,173,160000.0
0,2,11.0,3,3,103,198000.0
1,0,1.0,2,4,15,90000.0
0,3,7.0,1,4,17,185000.0
1,0,4.0,1,1,173,140000.0
0,2,12.0,1,4,103,196000.0
1,0,2.0,2,0,15,110000.0
0,2,6.0,4,4,17,180000.0
1,0,8.0,0,4,173,190000.0
0,0,4.0,2,4,103,150000.0
1,0,9.0,2,0,15,195000.0
0,0,5.0,0,0,173,160000.0
1,2,11.0,3,4,103,198000.0
0,0,3.0,0,4,15,130000.0
1,3,7.0,4,1,17,185000.0
0,0,4.0,3,4,173,140000.0
1,2,12.0,2,0,103,196000.0
0,0,2.0,2,0,15,110000.0
1,0,8.0,3,0,173,190000.0
0,2,6.0,4,4,17,180000.0
1,0,5.0,4,1,15,160000.0
0,2,11.0,4,4,103,198000.0
1,0,1.0,4,1,15,90000.0
0,3,9.0,0,4,17,195000.0
1,0,5.0,0,0,173,160000.0
0,0,4.0,3,4,103,150000.0
1,0,3.0,1,4,15,130000.0
0,2,6.0,1,4,17,180000.0
1,0,8.0,2,4,173,190000.0
0,2,11.0,3,4,103,198000.0
1,0,2.0,0,4,15,110000.0
0,3,7.0,4,0,17,185000.0
1,0,4.0,2,0,173,140000.0
0,2,12.0,3,3,103,196000.0
1,0,9.0,1,0,15,195000.0
0,0,5.0,2,4,173,160000.0
1,0,3.0,0,4,15,130000.0
0,2,6.0,2,4,17,180000.0
1,0,8.0,0,4,173,190000.0
0,2,11.0,0,4,103,198000.0
1,0,1.0,2,4,15,90000.0
1,0,4.0,0,0,173,140000.0
0,0,2.0,0,4,15,110000.0
0,3,7.0,4,0,17,185000.0
1,0,9.0,3,0,15,195000.0
0,0,5.0,1,0,173,160000.0
1,0,3.0,1,4,15,130000.0
0,2,6.0,4,2,17,180000.0
1,0,8.0,0,4,173,190000.0
0,2,11.0,1,0,103,198000.0
1,0,1.0,3,4,15,90000.0
1,0,4.0,4,2,173,140000.0
0,0,2.0,4,1,15,110000.0
0,3,7.0,0,0,17,185000.0
1,0,9.0,2,0,15,195000.0
0,0,5.0,1,0,173,160000.0
1,0,3.0,3,0,15,130000.0
0,2,6.0,1,0,17,180000.0
1,0,8.0,2,4,173,190000.0
0,2,11.0,1,4,103,198000.0
1,0,1.0,2,0,15,90000.0
1,0,4.0,2,0,173,140000.0
0,0,2.0,4,2,15,110000.0
0,3,7.0,4,2,17,185000.0
1,0,9.0,3,0,15,195000.0
0,0,5.0,0,0,173,160000.0
1,0,3.0,0,4,15,130000.0
0,2,6.0,0,0,17,180000.0
1,0,8.0,0,0,173,190000.0
0,2,11.0,2,4,103,198000.0
1,0,1.0,1,4,15,90000.0
1,0,4.0,4,4,173,140000.0
1,0,2.0,3,4,15,125000.0
0,2,6.0,1,0,17,175000.0
1,0,8.0,3,4,173,190000.0
0,0,4.0,3,4,103,150000.0
1,0,1.0,3,3,15,95000.0
1,2,9.0,1,4,17,195000.0
1,0,5.0,4,1,173,160000.0
0,2,11.0,0,4,103,198000.0
1,0,3.0,1,0,15,130000.0
0,3,7.0,2,0,17,185000.0
1,0,4.0,0,4,173,140000.0
0,2,12.0,3,0,103,196000.0
1,0,1.0,1,0,15,90000.0
0,3,10.0,1,1,17,193000.0
1,0,6.0,4,2,173,170000.0
0,0,5.0,2,4,103,160000.0
1,0,3.0,1,0,15,135000.0
0,2,6.0,1,4,17,180000.0
1,0,5.0,3,3,173,160000.0
0,2,11.0,1,1,103,198000.0
1,0,1.0,0,4,15,90000.0
0,3,7.0,2,0,17,185000.0
1,0,4.0,0,4,173,140000.0
0,2,12.0,4,0,103,196000.0
1,0,2.0,2,0,15,115000.0
0,2,6.0,1,0,17,180000.0
1,0,8.0,2,0,173,190000.0
0,0,4.0,4,1,103,150000.0
1,0,9.0,3,0,15,195000.0
0,0,5.0,3,0,173,160000.0
1,2,11.0,3,3,103,198000.0
0,0,3.0,1,0,15,130000.0
1,3,7.0,3,4,17,185000.0
0,0,4.0,1,4,173,140000.0
1,2,12.0,2,0,103,196000.0
0,0,2.0,0,0,15,110000.0
1,0,8.0,1,1,173,190000.0
0,2,6.0,2,4,17,180000.0
1,0,5.0,2,0,15,160000.0
0,2,11.0,3,4,103,198000.0
1,0,1.0,1,0,15,90000.0
0,3,9.0,0,0,17,195000.0
1,0,5.0,1,1,173,160000.0
0,0,4.0,4,0,103,150000.0
1,0,3.0,1,1,15,130000.0
0,2,6.0,1,1,17,180000.0
1,0,8.0,3,4,173,190000.0
0,2,11.0,4,1,103,198000.0
1,0,2.0,3,4,15,110000.0
0,3,7.0,3,4,17,185000.0
1,0,4.0,1,4,173,140000.0
0,2,12.0,3,4,103,196000.0
1,0,9.0,2,0,15,195000.0
0,0,5.0,1,1,173,160000.0
1,0,3.0,2,0,15,130000.0
0,2,6.0,1,1,17,180000.0
1,0,8.0,1,4,173,190000.0
0,2,11.0,3,0,103,198000.0
1,0,1.0,2,0,15,90000.0
1,0,4.0,1,1,173,140000.0
0,0,2.0,3,4,15,110000.0
0,3,7.0,0,0,17,185000.0
1,0,9.0,4,2,15,195000.0
0,0,5.0,0,4,173,160000.0
1,0,3.0,0,0,15,130000.0
0,2,6.0,1,0,17,180000.0
1,0,8.0,3,0,173,190000.0
0,2,11.0,3,4,103,198000.0
1,0,1.0,1,1,15,90000.0
1,0,4.0,1,1,173,140000.0
0,0,2.0,0,4,15,110000.0
0,3,7.0,4,4,17,185000.0
1,0,9.0,2,0,15,195000.0
0,0,5.0,1,4,173,160000.0
1,0,3.0,2,4,15,130000.0
0,2,6.0,0,0,17,180000.0
1,0,8.0,4,1,173,190000.0
0,2,11.0,4,2,103,198000.0
1,0,1.0,0,4,15,90000.0
1,0,4.0,4,0,173,140000.0
1,0,1.0,4,4,15,90000.0
0,2,4.0,1,0,17,150000.0
1,0,8.0,2,4,173,190000.0
0,0,3.0,0,4,103,125000.0
1,0,2.0,2,0,15,110000.0
1,2,7.0,4,2,17,180000.0
1,0,5.0,3,0,173,160000.0
0,2,10.0,2,0,103,195000.0
1,0,3.0,3,4,15,130000.0
0,3,6.0,1,4,17,170000.0
1,0,4.0,4,0,173,140000.0
0,2,11.0,0,4,103,196000.0
1,0,1.0,1,0,15,92000.0
0,3,9.0,0,4,17,195000.0
1,0,6.0,3,3,173,170000.0
0,0,5.0,1,0,103,160000.0
1,0,3.0,3,4,15,135000.0
0,2,6.0,2,0,17,180000.0
1,0,5.0,1,0,173,165000.0
0,2,11.0,0,4,103,198000.0
1,0,1.0,3,0,15,95000.0
0,3,7.0,4,1,17,185000.0
1,0,4.0,4,1,173,140000.0
0,2,12.0,0,4,103,196000.0
1,0,2.0,4,0,15,115000.0
0,2,6.0,1,4,17,180000.0
1,0,8.0,1,0,173,190000.0
0,0,4.0,4,0,103,150000.0
1,0,9.0,4,0,15,195000.0
0,0,5.0,0,4,173,160000.0
1,2,11.0,2,0,103,198000.0
0,0,3.0,0,0,15,130000.0
1,3,7.0,3,4,17,185000.0
0,0,4.0,0,0,173,140000.0
1,2,12.0,1,0,103,196000.0
0,0,2.0,1,4,15,110000.0
1,0,8.0,0,0,173,190000.0
0,2,6.0,4,2,17,180000.0
1,0,5.0,3,4,15,160000.0
0,2,11.0,3,3,103,198000.0
1,0,1.0,2,4,15,90000.0
0,3,9.0,4,2,17,195000.0
1,0,5.0,1,4,173,160000.0
0,0,4.0,2,0,103,150000.0
1,0,3.0,4,0,15,130000.0
0,2,6.0,2,0,17,180000.0
1,0,8.0,4,2,173,190000.0
0,2,11.0,4,2,103,198000.0
1,0,2.0,0,4,15,110000.0
0,3,7.0,1,0,17,185000.0
1,0,4.0,4,4,173,140000.0
0,2,12.0,4,0,103,196000.0
1,0,9.0,1,0,15,195000.0
0,0,5.0,3,3,173,160000.0
1,0,3.0,0,4,15,130000.0
0,2,6.0,0,0,17,180000.0
1,0,8.0,3,0,173,190000.0
0,2,11.0,4,0,103,198000.0
1,0,1.0,0,4,15,90000.0
1,0,4.0,2,0,173,140000.0
0,0,2.0,0,4,15,110000.0
